,_step,_runtime,time/fps,_timestamp,global_step,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,eval/mean_reward,eval/mean_ep_length,train/loss,train/clip_loss,train/learning_rate,train/bound_violations,rollout/tot_ep_rew_mean,clip_method
23,26,11.18390941619873,,1676684143.6048193,9000,,,0.6023697853088379,0.0,200.0,2.737992286682129,0.06158754974603653,0.0037320000119507313,-79.45343780517578,29601.6953125,soft
24,27,11.853293418884276,,1676684144.2742033,9500,,,0.5802767276763916,0.0,200.0,2.9223737716674805,0.05358665809035301,0.0037320000119507313,-73.00492095947266,34712.26171875,soft
25,28,12.341381788253784,1165.0,1676684144.7622917,9900,247.5,43.5,0.562558114528656,,,2.7084169387817383,0.05792897567152977,0.0037320000119507313,-74.12628173828125,38955.2109375,soft
26,29,12.551612854003906,,1676684144.9725227,10000,,,0.5581837296485901,0.0,200.0,2.897024631500244,0.05218222364783287,0.0037320000119507313,-70.1959228515625,40042.7109375,soft
27,30,13.238989114761353,,1676684145.659899,10500,,,0.5360906720161438,0.0,200.0,0.0634135901927948,0.01436493918299675,0.0037320000119507313,-25.284170150756836,45618.9765625,soft
28,31,13.744320631027222,1101.0,1676684146.1652305,10900,247.7272796630859,47.20454406738281,0.518372118473053,,,0.04517415165901184,0.005269964691251516,0.0037320000119507313,-14.127686500549316,50263.66015625,soft
29,32,14.02096438407898,,1676684146.4418745,11000,,,0.5139976739883423,97.0,200.0,0.044577956199646,0.007780371233820915,0.0037320000119507313,-15.553789138793944,51443.7734375,soft
30,33,15.527085065841677,,1676684147.947995,11500,,,0.4919046461582184,96.5,200.0,0.029272085055708885,0.00351797160692513,0.0037320000119507313,-8.330385208129883,57441.3203125,soft
31,34,16.027613639831543,977.0,1676684148.4485235,11900,247.9166717529297,50.85416793823242,0.4741860330104828,,,0.02128632739186287,0.006092264782637358,0.0037320000119507313,-15.62169361114502,62393.79296875,soft
32,35,16.22651171684265,,1676684148.6474216,12000,,,0.4698116183280945,96.5,200.0,0.015561210922896862,0.00254621054045856,0.0037320000119507313,-7.432568550109863,63665.1484375,soft
33,36,16.907811164855957,,1676684149.328721,12500,,,0.4477185904979706,96.0,200.0,0.020131604745984077,0.0030171051621437073,0.0037320000119507313,-7.241427421569824,70133.796875,soft
34,37,17.408931732177734,951.0,1676684149.8298416,12900,248.0769195556641,54.20192337036133,0.4300000071525574,,,0.023375079035758972,0.006140575744211674,0.0037320000119507313,-14.354363441467283,75467.7734375,soft
35,38,17.619410276412964,,1676684150.0403202,13000,,,0.42562559247016907,96.0,200.0,0.014349576085805891,0.0021816990338265896,0.0037320000119507313,-5.685977458953857,76822.8203125,soft
36,39,18.323030948638916,,1676684150.7439408,13500,,,0.4035325646400452,96.0,200.0,0.013236591592431068,0.007685349322855472,0.0037320000119507313,-16.960487365722656,83681.65625,soft
37,40,18.82151675224304,928.0,1676684151.2424266,13900,248.2142791748047,57.11606979370117,0.3858139514923096,,,0.011815272271633148,0.005272544454783201,0.0037320000119507313,-12.775198936462402,89310.8984375,soft
